ue,ttt,sps,spscomp,apex
1,T,Jussie,Ms,100
1,T,MSpi,Ju,100
3,E,Egeria,Ms,66.66
3,E,MSpi,Eg,100
5,E,Jussie,Ms,100
5,E,MSpi,Ju,33.33
6,T,Jussie,Eg,100
6,T,Egeria,Ju,100
7,E,Jussie,Eg,100
7,E,Egeria,Ju,33.33
8,T,Egeria,Ms,100
8,T,MSpi,Eg,100
10,T,Jussie,Eg,100
10,T,Egeria,Ju,100
12,E,Jussie,Ms,100
12,E,MSpi,Ju,100
14,E,Jussie,Eg,100
14,E,Egeria,Ju,33.33
15,T,Egeria,Ms,100
15,T,MSpi,Eg,100
16,E,Egeria,Ms,66.66
16,E,MSpi,Eg,66.66
17,T,Jussie,Ms,100
17,T,MSpi,Ju,100
19,T,Egeria,Ms,100
19,T,MSpi,Eg,100
21,E,Jussie,Eg,100
21,E,Egeria,Ju,66.66
23,E,Egeria,Ms,66.66
23,E,MSpi,Eg,100
24,T,Jussie,Ms,100
24,T,MSpi,Ju,100
25,E,Jussie,Ms,100
25,E,MSpi,Ju,100
26,T,Jussie,Eg,100
26,T,Egeria,Ju,100
29,E,Jussie,Eg,100
29,E,Egeria,Ju,66.66
30,T,Egeria,Ms,100
30,T,MSpi,Eg,100
31,E,Egeria,Ms,33.33
31,E,MSpi,Eg,0
32,T,Jussie,Ms,100
32,T,MSpi,Ju,100
34,T,Jussie,Eg,100
34,T,Egeria,Ju,100
36,E,Jussie,Ms,100
36,E,MSpi,Ju,66.66
38,E,Jussie,Ms,100
38,E,MSpi,Ju,66.66
39,T,Jussie,Eg,100
39,T,Egeria,Ju,100
40,E,Jussie,Eg,100
40,E,Egeria,Ju,0
41,T,Egeria,Ms,100
41,T,MSpi,Eg,100
43,T,Jussie,Ms,100
43,T,MSpi,Ju,100
45,E,MSpi,Eg,66.66
45,E,Egeria,Ms,66.66
47,E,Egeria,Ms,33.33
47,E,MSpi,Eg,100
48,T,Jussie,Ms,100
48,T,MSpi,Ju,100
49,E,Jussie,Ms,66.66
49,E,MSpi,Ju,66.66
50,T,Jussie,Eg,100
50,T,Egeria,Ju,100
52,T,Egeria,Ms,100
52,T,MSpi,Eg,100
54,E,Jussie,Eg,100
54,E,Egeria,Ju,33.33
55,E,Jussie,Ms,100
55,E,MSpi,Ju,33.33
56,T,Jussie,Eg,100
56,T,Egeria,Ju,100
58,T,Egeria,Ms,100
58,T,MSpi,Eg,100
60,E,Jussie,Eg,100
60,E,Egeria,Ju,66.66
62,E,Egeria,Ms,100
62,E,MSpi,Eg,100
63,T,Jussie,Ms,100
63,T,MSpi,Ju,100
64,E,Egeria,Ms,100
64,E,MSpi,Eg,100
65,T,Jussie,Ms,100
65,T,MSpi,Ju,100
67,T,Jussie,Eg,100
67,T,Egeria,Ju,100
69,E,Jussie,Ms,66.66
69,E,MSpi,Ju,66.66
71,E,Jussie,Eg,100
71,E,Egeria,Ju,100
72,T,Egeria,Ms,100
72,T,MSpi,Eg,100
